idx,question,category,true_answer,model_answer,accuracy,confidence
205586,"'It's the 2-word slang term for what is formally known as ""time zone change syndrome""'",ON A JET PLANE,jet lag,What is jet lag?,1,0.95
157672,"'I bought this Beatle's ""Dark Horse"" & Ravi Shankar's ""In Celebration"", which he co-produced'",10 CDs FOR A PENNY,George Harrison,"What is the name of the mail-order music club that offered 10 CDs for a penny, that you bought the Beatles' ""Dark Horse"" and Ravi Shankar's ""In Celebration"" from?",0,0.8
124382,"'This common name of the small speedy bird seen <a href=""http://www.j-archive.com/media/2008-01-01_J_30.jpg"" target=""_blank"">here</a> even means ""speedy""'",TEMPO TANTRUM,swift,What is a swift?,1,0.9
180667,'It's the NFL team that plays its home games at Lambeau Field',COLORFUL WORDS & PHRASES,Green Bay Packers,What is the Green Bay Packers?,1,0.95
169086,'This thickener of fruit jellies is obtained from apples',APPLE,pectin,What is pectin?,1,0.9999
2841,"'He, not the Attorney General, represents the government in cases before the Supreme Court'",GOVERNMENT,the Solicitor General of the U.S.,Who is the Solicitor General?,1,1.0
61099,'The name of this art style is derived from a Paris shop opened in the 1890s by dealer Siegfried Bing',ART & ARTISTS,Art Nouveau,What is Art Nouveau?,1,0.9
191797,'In 1949 a Nationalist government in exile was established in this Asian island nation',ASIAN NATIONS,Taiwan,What is Taiwan?,1,0.999
178056,"'His writing career began with the short novel ""Detstvo"" in 1852; the much longer pieces came later'","RUSSIAN ""T"" ROOM",Leo Tolstoy,Who is Leo Tolstoy?,1,0.95
117736,'On their heads bees have 5 of these -- 2 compound & 3 simple',THE BEE,Eyes,What are eyes?,1,0.9
34065,'Eoin Ryan of this country is also a member of the Fianna Fail political party',EUROPEAN PARLIAMENT MEMBERS,Ireland,What is Ireland?,1,1.0
182849,"'This director of ""Lone Star"", ""Passion Fish"" & ""Return of the Secaucus Seven"" has long been based in Hoboken'",NEW JERSEYITES,John Sayles,Who is John Sayles?,1,0.9
154915,'This Tasmanian capital was once a major center for Antarctic whalers',"WHAT THE ""H""?",Hobart,What is Hobart?,1,0.95
178805,"'He told the 20th Communist Party Congress Feb. 14, 1956 that war with capitalist imperialism was not inevitable'",VALENTINE'S DAY,Nikita Khrushchev,Who is Nikita Khrushchev?,1,0.95
94490,"'(<a href=""http://www.j-archive.com/media/2007-11-29_DJ_12.jpg"" target=""_blank"">Hi, I'm Sean Hayes.</a>)  I got one of my first big breaks when I was cast in the film ""A & P"", based on a story by this ""Rabbit, Run"" author'",FROM PAGE TO SCREEN,John Updike,Who is John Updike?,1,0.9
164580,'The pilgrimage to Mecca for Muslims',ENDS WITH THE SAME 2 LETTERS,hajj,What is Hajj?,1,0.95
191964,'A U.S. stamp from 1965 commemorated the 700th anniversary of the birth of this Italian poet',POSTAGE STAMPS,Dante Aligheri,Who is Dante Alighieri?,1,1.0
25082,'The original theme song to this TV sitcom set in Cleveland mentioned the nearby towns of Parma & Solon',CLEVELAND ROCKS!,The Drew Carey Show,"What is ""The Drew Carey Show""?",1,1.0
48658,"'As you'd expect, it's the term for bifocals modified with an additional lens for intermediate distance'",FOR YOUR EYES ONLY,Trifocals,What are trifocals?,1,0.9
192307,'It's home to the NFL's Panthers',U.S. CITIES,Charlotte,What is Charlotte?,1,0.95
177837,"'This opera is subtitled ""The Lass that Loved a Sailor""'",GILBERT & SULLIVAN,The H.M.S. Pinafore,What is H.M.S. Pinafore?,1,0.95
172320,'This Japanese crime organization attacked Juzo Itami after he made a 1992 film satirizing them',FILM DIRECTORS,the Yakuza,Who is the Yakuza?,1,1.0
121669,"'Crassus, Julius Caesar & this man formed the 1st Triumvirate'",ANCIENT HISTORY,Pompey,Who is Pompey?,1,1.0
17029,"'Before their royal wedding, Edward & Sophie were given the titles Earl & Countess of this'",LEFTOVERS,Wessex,What is Wessex?,1,0.95
196290,"'The second half of Senator Howard Baker's 1973 question that began, ""What did the president know?""'",QUESTIONS,"""And when did he know it?""","What is ""and when did he know it?""",1,1.0
70205,"'In 1990 he directed himself in the title role of ""Dick Tracy""'",ACTOR-DIRECTORS,Warren Beatty,Who is Warren Beatty?,1,0.95
184202,"'This Steinbeck novel title comes from Genesis; Cain went there, to the land of Nod, after the murder'",BORROWED BOOK TITLES,East of Eden,What is East of Eden?,1,1.0
16902,'A part of the psyche',2-LETTER SCRABBLE WORDS,id,What is 'id'?,1,1.0
11501,"'Put them in the order Richard Branson founded them: airline, record store, record label'",MR. BUSINESSMAN,"record store, record label, airline","What is Record Store, Record Label, Airline?",1,0.9
3442,"'This Apache tried to keep peace with the palefaces, but after his death, his son joined with the militant Geronimo'",HISTORIC NAMES,Cochise,Who is Cochise?,1,0.8
15888,'In the 1840s Esther Howland made these cards from imported paper lace & floral decorations',ANNUAL EVENTS,Valentines,What is Valentine's Day cards?,1,0.9
150094,"'On May 20, 1498 this Portuguese navigator reached Calicut on the Malibar coast of India'",500 YEARS AGO,Vasco da Gama,Who is Vasco da Gama?,1,0.9
53680,'A protest at a church in Timisoara began the rebellion that ended Ceausescu's rule in this country',EUROPEAN HISTORY,Romania,What is Romania?,1,1.0
16745,"'She wrote, ""I knew then that 'W-A-T-E-R' meant the ... cool something that was flowing over my hand""'",AMERICAN HERSTORY,Helen Keller,Who is Helen Keller?,1,1.0
136236,"'I want this ""lunar"" footwear, basically a pair of trampolines, to make me feel like I'm defying gravity'","MOM, I WANT I WANT I WANT!!",moon shoes,What are Moon Shoes?,1,1.0
170021,"'Charlie Daniels reported a fiddle of gold was bet against a soul when ""The Devil Went Down To"" this state'",FOR SAX AND VIOLINS,Georgia,What is Georgia?,1,1.0
199464,'Lake Texoma on the Texas-Oklahoma border was formed by damming this river',U.S. RIVERS,Red River of the South,What is the Red River?,1,0.95
92870,"'(<a href=""http://www.j-archive.com/media/2009-06-04_DJ_26.jpg"" target=""_blank"">Alex reads from the Royal Ontario Museum in Canada.</a>)  <a href=""http://www.j-archive.com/media/2009-06-04_DJ_26a.jpg"" target=""_blank"">This</a> bust, once identified as just an early Ptolemaic queen, has now been shown to be this woman--famous through the ages'",THE ROYAL ONTARIO MUSEUM,Cleopatra,Who is Cleopatra?,1,0.95
159471,"'These towns, like the one seen here, were named for a 1950s builder'",AMERICA SINCE 1900,Levittowns,What are 'Levittowns'?,1,0.9
186253,'Jameson Irish Whiskey gains its golden hue thanks partly to this acid that also helps give leather its color',THE SCIENCE OF LIQUOR,tannic acid,What is tannic acid?,1,0.8
73813,'The cross seen here is used as a symbol in the battle against this disease abbreviated TB:',SIGNS & SYMBOLS,Tuberculosis,What is Tuberculosis?,1,1.0
15992,"'As part of Catholic Baptism, this word doesn't mean to go to the gym but to get rid of demons'",RELIGION,exorcise,"What is ""exorcism""?",0,1.0
137025,"'This ballerina known for her ""Dying Swan"" role starred in the 1915 silent film ""The Dumb Girl of Portici""'",BARRE TENDERS,Pavlova,Who is Anna Pavlova?,1,1.0
112835,'Britain's 200-year-old Rumford Medal is given for discoveries about heat or this form of energy',AWARDS,light,What is thermal energy?,0,0.99
55723,"'(Jimmy of the Clue Crew)  I'm in this city, at the very first of thousands of Starbucks stores'",WHERE AM I?,Seattle,What is Seattle?,1,1.0
14043,"'This 1955 novel's foreword says, ""I have no intention to glorify 'H.H.'....he is a shining example of moral leprosy""'",FOREWORDS,Lolita,"What is ""Lolita"" by Vladimir Nabokov?",1,1.0
105754,"'This cereal is ""A honey of an O""'",CLASSIC ADS & JINGLES,Honey-Nut Cheerios,"What is ""Cheerios""?",0,1.0
198338,"'Types of this aquatic creature include chimney, sheep's wool, and common bath'",ANIMALS,the sponge,What is a sponge?,1,1.0
125708,"'On their Krofft-produced variety show, Marie Osmond was ""a little bit country"" & Donny was ""a little bit"" this'",SID & MARTY KROFFT TV,rock and roll,"What is ""rock and roll""?",1,0.9
204230,'The team that wears the logo seen here plays home games in this former Olympic venue<br />(Calgary Flames)',NHL TEAMS,Saddledome,What is the Saddledome?,1,0.99
146956,'This Swiss city is headquarters to the World Council of Churches',WORLD CITIES,Geneva,What is Geneva?,1,0.9
39535,'Oregon is in deep with this body of water on its state quarter',U.S. LAKES & RIVERS,Crater Lake,What is Crater Lake?,1,0.95
53604,"'It's a lot easier to finish this author's ""Death in Venice"" than his ""Dr. Faustus""'",BOOKS FOR THE BRAVE,Thomas Mann,Who is Thomas Mann?,1,0.95
151722,"'Paine took on religion in his book ""The Age Of"" this'",THOMAS PAINE,Reason,"What is ""The Age of Reason""?",1,1.0
108452,"'These ""notes"" are used illicitly to help you on tests'",WORDS CONTAINING BODY PARTS,crib notes,What are cheat sheets?,0,0.9
37961,'In 1930 this Indian pacifist marched 200 miles to the sea to protest Britain's salt tax',SALT,Gandhi,Who is Mahatma Gandhi?,1,1.0
170755,'Sharp type of turn that sounds like an accessory to keep your toupee from flying off',ONE GOOD TURN,a hairpin,What is a hairpin turn?,0,0.95
25093,"'Kim Deal, Faith Hill & Vanilla Ice have been spotted at this attraction on the shores of Lake Erie'",CLEVELAND ROCKS!,the Rock & Roll Hall of Fame,What is the Rock and Roll Hall of Fame?,1,1.0
189768,'This fabled stadium where the Pittsburgh Pirates & Steelers used to play was demolished in 2001',THE SPORTS ZONE,Three Rivers,What is Three Rivers Stadium?,1,1.0
3982,"'Doing laundry in the sink, this ""Jersey Shore"" girl aka Nicole Polizzi said, ""I feel like a pilgrim from the friggin' '20s""'",JERSEY GIRLS,Snooki,Who is Snooki?,1,0.95
32415,"'The trail named for these people led from Cuzco to Intipunku, ""the gateway of the sun"", & on to Machu Picchu'",THE WORLD,the Incans,What are the Incas?,1,1.0
110796,"'The Lord told him to ""Lift thou up thy rod, and stretch out thine hand over the sea, and divide it""'",BIBLICAL QUOTES,Moses,"What is ""Moses, Exodus 14:16""?",1,1.0
157516,"'It's the title of the movie seen <a href=""http://www.j-archive.com/media/1998-04-29_DJ_20.wmv"">here</a>'",SEVEN,The Seven Year Itch,"What is ""The Magnificent Seven""?",0,1.0
48514,'Haifa was a target of scud missiles from this country during the Persian Gulf War of 1991',HAIFA LOAF,Iraq,What is Iraq?,1,0.95
77286,"'This cable channel launched on Feb. 2, 2000--appropriately, that's 02/02'",CABLE CHANNELS,the Oxygen Channel,"What is the cable channel, Syfy?",0,0.95
155532,'In Hebrew it can mean hello. goodbye or well-being',WORLD OF WORDS,Shalom,"What is ""Shalom""?",1,0.95
75200,'These Greek female divinities punished crimes at the instigation of the victims',ANGRY WORDS,the furies,What are Furies?,1,0.95
123237,"'These animals, a symbol of the city of Bern, are kept in a pit near the river'",EUROPEAN CAPITALS,bears,What are bears?,1,0.9
103681,'Hungarians have many dishes named for & made with this spice',HERBS & SPICES,paprika,What is paprika?,1,0.9
178629,"'In various songs, she was a hit for Jimmy Clanton, Shocking Blue, Bananarama, and Frankie Avalon'",GIRLS IN SONG,Venus,Who is Venus?,1,1.0
203890,"'The sentence ""Harold and Kumar go to White Castle"" has a plural compound one of these'",GRAMMAR,a subject,What is a subject?,1,0.9
154858,"'A hoisting machine, or a somewhat similar-looking wading bird'",LARGE EQUIPMENT,a crane,What is a crane?,1,0.9
149665,'One of Louis Malle's first jobs in filmmaking was an assistant to this marine explorer',L'HOMME,Jacques Cousteau,Who is Jacques-Yves Cousteau?,1,0.9
196055,"'It's the perfect British ""street"" to report on naval maneuvers'",HURRY UP!,Fleet Street,What is Fleet Street?,1,0.95
192016,"'HUD secretary under Nixon, he earlier served as American Motors president & sired a candidate for U.S. president'",HUD SECRETARIES,George Romney,Who is George Romney?,1,0.95
39731,"'In an Aesop fable, Fox makes this bird drop its food by asking it to speak'",A FOXY CATEGORY,Crow,"What is ""The Crow""?",1,1.0
29798,"'16th century author Pietro Aretino is <a href=""http://www.j-archive.com/media/2005-04-25_J_15.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2005-04-25_J_15a.jpg"" target=""_blank"">here</a> in a portrait by this Venetian pal of his'",THE ARTIST,Titian,Who is Titian?,1,0.75
147938,"'It's the geographically appropriate name of the Pittsburgh landmark seen <a href=""http://www.j-archive.com/media/2004-11-15_J_02.jpg"" target=""_blank"">here</a> on Feb. 11, 2001'",PITTSTORY,Three Rivers Stadium,What is Point State Park?,0,1.0
111156,"'In August 2010 General Zahir Azimi announced that its army had reached target strength of 134,000 2 months ahead of schedule'",ARMY STRONG,Afghanistan,What is the Afghan National Army?,1,0.95
62008,'This company operates the 4 most popular theme parks in North America',BUSINESS & INDUSTRY,Disney,What is Disney (The Walt Disney Company)?,1,0.95
73190,"'A 19th century rhyme says, ""He who does not love wine, women & "" this ""remains a fool his whole life long""'",POETRY,Song,"What is ""song""?",1,0.9
128891,"'One of the commandments says ""Thou shalt not bear"" this ""against thy neighbor""'",RULES FROM EXODUS,"""false witness""","What is ""false witness""?",1,1.0
25100,'This aromatic herb used in cooking bears clusters of small green & white flowers',"""GON"" TOMORROW",tarragon,What is thyme?,0,0.95
7092,'We're not joshing--in 1769 this portrait painter got knighted',ART,(Joshua) Reynolds,Who is Sir Joshua Reynolds?,1,0.8
30594,"'It can precede man, arrow & shooter'","ENDS IN ""GHT""",straight,"What is ""night""?",0,1.0
103093,'She became queen of England in 1702 after a riding accident led to the death of William III',ROYALTY,Queen Anne,Who is Queen Anne?,1,1.0
213486,'It's said this North Korean capital is the Korean Peninsula's oldest city',WORLD CITIES,Pyongyang,What is Pyongyang?,1,0.8
92089,"'Associated with New Zealand, these South Sea islands named for an explorer are self-governing'",PACIFIC ISLANDS,the Cook Islands,What are the Cook Islands?,1,0.9
4210,"'The European playground seen here, or a Las Vegas hotel'","VEGAS, BABY",Monte Carlo,What is the Bellagio?,0,0.95
7722,"'In a saying attributed to the Duke of Wellington, this battle ""was won on the playing fields of Eton""'",QUOTATIONS,Waterloo,What is the Battle of Waterloo?,1,1.0
111987,'This word for a perfect world comes from a 1516 book',"IT'S ALL ABOUT ""U""",utopia,What is Utopia?,1,1.0
30840,"'This ""Great"" king, dad of Xerxes I, standardized weights & measures & built highways'",ANCIENT PERSIA,Darius the Great,Who is Darius the Great?,1,1.0
42413,"'Pensar means to do this; people who do it well enough may go into a ""tank""'",SPANISH VERBS,to think,"What is ""to think?""",1,1.0
54508,"'Called P.G.T.,  this Confederate Creole general led the attack of Fort Sumter to start the Civil War'",CREOLE CURIOSITY SHOP,General Beauregard,Who is Pierre Gustave Toutant Beauregard?,1,0.9
107199,"'A provincial capital was named for George Monteau Dunk, 2nd Earl of this'",CANADIAN HISTORY,Halifax,What is Quebec?,0,0.7
183813,'Indonesia shares New Guinea with Papua New Guinea & this island with Malaysia',ON YOUR INDONESIA,Borneo,What is Borneo?,1,1.0
85755,"'Liza Minnelli beat out this funnyman's show ""You're Welcome America: A Final Night with George W. Bush""'",THE 2009 TONY AWARDS,Will Ferrell,Who is Will Ferrell?,1,0.8
47957,"'A 2005 rain delay at the Nissan Open had this golfer known as ""Long John"" saying, ""My marriages don't last this long""'",THE WIDE WORLD OF SPORTS,"""Long John"" Daly",Who is John Daly?,1,0.95
29243,"'Dostoevsky wrote ""The Brothers Karamazov"" & this Russian wrote ""Fathers and Sons""'",19th CENTURY NOVELS,Ivan Turgenev,Who is Ivan Turgenev?,1,0.95
202575,"'This will be partly blotted out on May 10, 2013; if I'm with a primitive tribe that day, I can trick them into making me a god'",I CAN PREDICT THE FUTURE,the sun,What is a solar eclipse?,0,0.95
53943,"'This group uses ""Blood Sugar Sex Magik"" & cowbell when <a href=""http://www.j-archive.com/media/2005-11-18_DJ_26.mp3"">""Breaking The Girl""</a><br /><br /><i>""Twisting and turning you're feeling the burning you're breaking the girl...""</i>'",I NEED MORE COWBELL,the Red Hot Chili Peppers,Who is the Red Hot Chili Peppers?,1,0.99
43611,"'In Internet addresses, zw stands for this country'",ABBR.,Zimbabwe,What is Zimbabwe?,1,0.9
99741,"'In September 2002 this Texan won Fox' ""American Idol""'",21st CENTURY MUSIC,Kelly Clarkson,Who is Kelly Clarkson?,1,1.0
