,true_answer,model_answer,question
78935,"""54-40 or fight!""","What is ""54-40 or Fight""?",'This phrase about where we wanted our northern border was a Polk campaign slogan'
119291,the Adirondacks,What are the Adirondack Mountains?,"'While living in these New York mountains, Robert Louis Stevenson began writing ""The Master of Ballantrae""'"
59531,The Cannonball Run,"What is ""Cannonball Run""?","'Tony was so adept in his first primate movie, ""Going Ape!"", he was teamed up again with one in the sequel to this 1981 racing flick'"
185865,Baby Face Nelson,"Who is ""Baby Face"" Nelson?","'<a href=""http://www.j-archive.com/media/2012-01-06_J_10.jpg"" target=""_blank"">This</a> youthful fellow had a bad run-in with the authorities in 1934'"
56384,a Gremlin,What is the Gremlin?,"'Yes, this American Motors car shares its name with a WWII engine trouble-causing imp... what, no sale?'"
43718,(E.L.) Doctorow,Who was E.L. Doctorow?,'History-loving Edgar Lawrence...'
157599,Ben Franklin,Who is Benjamin Franklin?,"'James, brother of this Philadelphian, began publishing Rhode Island's first newspaper in 1732'"
26857,"""Goody Goody""","What is ""Goody, Goody""?","'Phrase following ""So you met someone who set you back on your heels""'"
148415,(Ralph) Nader,Who is Ralph Nader?,"'In 2000 he got only 2.8 million votes, yet some say he tipped the election to the winner'"
182892,"""Fawlty Towers""",What is Fawlty Towers?,'Only 12 episodes were made of this series starring John Cleese as a Torquay hotelier'
59564,Atlas,What is the name of the Titan who held the weight of the world on his shoulders before Hercules took over?,'Hercules literally took the weight of the world off his shoulders when he needed help with some golden apples'
106619,flamingoes,What is a flamingo?,'Colonies of this pink wading bird of the family Phoenicopteridae have been obvserved high in the Andes'
34644,Export/Import Bank,What is the Export-Import Bank?,"'An independent agency of the U.S. government, it's also called Eximbank'"
171593,(Rosa) Parks,Who is Rosa Parks?,"'Of that bus incident in 1955, she once said, ""All I was doing was trying to get home from work""'"
189604,Charlie\'s Angels,"What is ""Charlie's Angels""?","'This show began by saying ""Once upon a time, there were 3 little girls who went to the police academy""'"
16638,(Mack) Sennett,Who is Mack Sennett?,"'In 1914, this Keystone Studios head was the last person other than Chaplin to direct him in a film'"
116275,"(1 of 2) Juneau, Alaska or Honolulu, Hawaii",What is Honolulu or Juneau?,"'One of the 2 state capitals whose names end with the letter ""U""'"
12079,(Vidkund) Quisling,Who is Vidkun Quisling?,"'If in Norway on July 18, don't inquire if it's a national holiday due to the birth of this traitor in 1887'"
165786,Wednesday (Addams),"What is ""Wednesday Addams""?",'Lisa Loring played this creepy girl on TV in the '60s'
88338,L\'Etranger or The Stranger,What is The Stranger by Albert Camus?,"'""Mother died today"" is the first line of this Camus novel'"
173755,Scarlett O\'Hara,"Who is Scarlett O'Hara from ""Gone with the Wind""?",'Southern belle whose sisters were Suellen & Carreen'
133087,Army,What is the United States Military Academy's (West Point) Michie Stadium?,"'This armed service's Michie Stadium was named for infantryman Dennis Michie, who coached its first football team'"
76922,Lyndon Johnson,Who is Lyndon B. Johnson?,'In 1935 he was appointed director of the National Youth Administration in Texas'
131104,the brake pads,What are brake pads?,"'(<a href=""http://www.j-archive.com/media/2011-10-25_J_27.wmv"">Kelly of the Clue Crew shows a diagram of car brakes on the monitor.</a>) If your brakes squeal, it may indicate that these parts the engage the rotors are wearing thin & should be replaced'"
118544,"Apple (""Apple of your eye"")",What is an apple?,'A malum is one of these & it may be of your oculus'
62872,Dead Men Don\'t Wear Plaid,"What is ""Dead Men Don't Wear Plaid""?",'1982:<br />Steve Martin innovatively interacts with clips from classic film noir movies'
69262,"""Gulliver\'s Travels""","What is ""Gulliver's Travels"" by Jonathan Swift?","'A ""Swift"" read at about 300 pages, this 1726 novel sets sail to Laputa & Lilliput'"
213628,Moscow,What is the capital city where the Pushkin Museum of Fine Arts is located?,'The Pushkin Museum of Fine Arts'
61461,Admiral David Farragut,Who is David Farragut?,"'In a difficult situation George Dewey would ask himself, what would this man, his former commander, do?'"
59787,IoWashington,What is Iowaashington?,'Des Moines plus Walla Walla'
159737,monopolies (or trusts),What are trusts?,"'In 1882 Lawyer Samuel Dodd found that to control companies in several states, Standard Oil could form these'"
58083,Sacajawea (Bird Woman),Who is Sacagawea?,"'""Encyclopedia Americana"" says this guide of Lewis and Clark lived to about one hundred while the ""Britannica"" says she died at twenty-six'"
26134,bet on horses,What is place a bet on a horse race?,'The pari-mutuel system lets you do it legally'
117050,crabapples,What are crab apples?,'These sour wild apples are usually less than 2 inches in diameter'
35154,(Thomas) Jefferson,Who is Thomas Jefferson?,"'The wine tab for this Virginian president for one year in office was $7,597'"
62481,a fez,What is the Fez?,"'Banned by Ataturk for political reasons, this hat with a 3-letter name was once the national hat of Turkish men'"
195690,Teddy Roosevelt,Who is Theodore Roosevelt?,'The North Room at Sagamore Hill estate displays this president's Rough Rider hat'
125771,Caesar\'s Palace,What is Caesars Palace?,'The Cleopatra's Barge nightclub has a swaying dance floor that really rocks this Roman-themed Vegas casino'
128539,the fireman,Who is a fireman?,"'Despite his name, this worker in a steam locomotive doesn't douse flames, he stokes them in the boiler'"
57747,Mabel (Norman),Who is Mabel Normand?,'In a musical:<br />Mack (Sennett) & this actress'
46961,Wal-Mart,What is Walmart?,'The USA's biggest private employer is this chain of large discount stores with over 1.3 million employees'
83900,(Rafael) Palmeiro,Who is Rafael Palmeiro?,"'On July 15, 2005 this Oriole became just the fourth player to reach 3,000 hits & 500 home runs in a career'"
168738,the Wailing Wall,What is Hadrian's Wall?,"'Hadrian's Wall,<br />the Wailing Wall,<br />the Berlin Wall'"
182651,Justice Scalia,Who is Justice Antonin Scalia?,'Exit 61B: I may be conservative on the Supreme Court but take me hunting & I shoot liberally'
35040,the tuna,What is tuna?,"'The top 10 fastest fish in the sea include the tiger shark, the sailfish & the bluefin variety of this food fish'"
203671,"Beverly Hills, 90210",What is Beverly Hills 90210?,"'Tori Spelling,<br />Shannen Doherty,<br />Jason Priestley'"
93147,a Ouija board,What is the Ouija board?,"'""It's only a game--isn't it?"" is a slogan of this board whose mysterious new version actually glows in the dark'"
93710,A Midsummer Night\'s Dream,"What is the play ""A Midsummer Night's Dream""?","'Theseus: ""Now, fair Hippolyta, our nuptial hour draws on apace""'"
190705,Burning Man Festival,What is Burning Man?,"'A figure is set on fire as part of this annual event that now draws 25,000 people to the Nevada desert'"
197779,the Marianas Trench,What is the Mariana Trench?,"'At over 36,000 feet, it's the deepest spot in the North Pacific, or anywhere else on Earth'"
191871,Federal Express,What is FedEx?,'In 1995 it became the only U.S.-based express service with direct flights to China'
94993,red & white,What are red and white?,"'Campbell's picked these, the school colors of Cornell University, for its label'"
121961,a junebug,What is a June Bug?,"'This scarab relative, often seen at night, is named for the time of year when it's most prevalent'"
182445,Gilligan\'s Island,What is Gilligan's Island?,"'In a TV movie, the Globetrotters crash-landed on an island where they visited the cast of this '60s sitcom'"
182985,North Pole,What is true north?,"'Useful in navigation because it's unaffected by magnetism, a gyrocompass points toward this location'"
104463,Ulysses Grant,Who is General Ulysses S. Grant?,"'In 1864 at Spotsylvania, this Union General vowed ""to fight it out on this line, if it takes all summer""'"
44821,P-R-E-S-C-R-I-P-T-I-O-N,What is a prescription?,'The written note from a doctor to a pharmacist telling what medicine you need'
177596,E.M. Forster,Who is Edward Morgan Forster?,'Edward Morgan...'
192560,"Antwerp, Belgium",What is Antwerp?,'Peter Paul Rubens & Anthony Van Dyck helped make this city the center of the Flemish school of painting'
50234,Whigs,What is the Whig Party?,"'Formed to oppose Andrew Jackson, this party's 1st program was Clay's ""American System"" favoring high tariffs'"
48540,the beanstalk,What is a beanstalk?,'A folk tale written down by Joseph Jacobs told of a boy who got a nice aerobic workout climbing this'
3711,(Richard) Wagner,Who is Richard Wagner?,"'Like many of his works, this composer's ""Tannhauser"" is based on Germanic legends'"
168193,G8 (the Group of Eight),What is the G8 Summit?,"'In 2007 this annual summit of the world's leading industrialized nations met in Heilegendamm, Germany'"
171196,(Toni) Morrison,Who is Toni Morrison?,"'A reading room at the Lorain Public Library in Ohio is named for this ""Beloved"" prize-winner from 1988'"
124869,(Andrew) Jackson,Who is Andrew Jackson?,'He was Tennessee's first delegate to the U.S. House of Representatives'
157279,"""Double Vision""",What is Double Vision?,"'In a 1978 hit, Foreigner had this malady, AKA diplopia'"
122462,Allison Janney,Who is Alison Janney?,"'She ""presses"" on:<br />SOLE JAIL NANNY'"
65619,train/railroad,What is a narrow-gauge railway?,"'Not exactly the B&O, this type of transportation system runs only 950 yards in Vatican City'"
38926,The Evil Dead,"What is the ""Evil Dead"" series?","'Lorraine Axeman, one of our researchers, was an extra in ""Army of Darkness"", Sam Raimi's 3rd film in this Series'"
37226,Rosie O\'Donnell,Who is Rosie O'Donnell?,"'A longtime talk show host & short-time ""The View"" co-host, she once played Golde in ""Fiddler on the Roof""'"
138129,Campbell\'s,What is Campbell's Soup?,"'This soup-er company began as a canning & preserves business in Camden, New Jersey in 1869'"
202639,Asia,What is Vietnam?,"'""The Quiet American""'"
9197,(Zachary) Taylor,Who is Zachary Taylor?,"'With 1/3 the troops of his enemy, this American general beat Santa Anna in the 1847 Battle of Buena Vista'"
28271,Teutonic Knights,What is the Teutonic Order?,'Prussia was Christianized in the 13th century by knights of this order'
28241,Triglycerides,What is triglyceride?,"'Along with cholesterol, watch your level of this substance partly named for its 3 molecules of fatty acids'"
57337,St. Andrew,Who is Saint Andrew?,'This saint's cross appears on the provincial flag of Nova Scotia'
60687,the walrus,What is a walrus?,"'You could say this Arctic mammal, Odobenus rosmarus, has a Wilford Brimley mustache'"
167950,a paper clip,What is a paperclip?,'1899 device for attaching papers that can ruin a computer disc when magnetized'
158055,Bill & coo,"What is ""billing and cooing""?",'This phrase comes from birds rubbing their beaks together & making amorous noises'
61676,a potboiler,"What is a ""potboiler""?",'A cheap novel written quickly just to make money'
63124,pain reliever,What is ibuprofen?,'Bristol-Meyers Squibb discontinued its Nuprin brand of this'
61066,Muammar Qadhafi,Who is Muammar Gaddafi?,'He celebrated his 15th year in power in Libya September 1'
143899,The US Postal Service,What is the United States Postal Service (USPS)?,"'After 182 years, the Post Office Department ceased to exist in 1971 & was replaced by this agency'"
166341,McDonald\'s,What is McDonald's?,"'Hamburger University, this chain's training center, opened in 1961 in Elk Grove Village, Illinois'"
153534,the robin,What is the American Robin?,'This red-breasted state bird of Connecticut lays 3 to 6 blue eggs 2 or 3 times a year'
129339,Rene Descartes,Who is René Descartes?,"'Jacques Lacan revised this philosopher's idea as ""Where I think, 'I think, therefore I am"
32333,heart chart,What is a chart of the heart?,'A map of your blood-pumping organ'
178744,Betty & Veronica,Who are Betty and Veronica?,'Both of these female friends of Archie Andrews have their own comics & share a third'
65802,the Summer Olympics,What are the Olympic Games?,"'After Stockholm hosted these in 1912, Sweden's Hugo Wieslander was awarded a disputed gold in the decathlon'"
76062,Sony Playstation,What is the ad slogan for the PlayStation 3?,"'""It only does everything""'"
108389,the Falklands,What are the Falkland Islands?,"'Little dots of nothing called the Shag Rocks lie about 700 miles east of these islands, subject of a 1980s conflict'"
96098,Barbra Streisand,Who is Claudia Draper?,"'In ""Nuts"" she was a hooker accused of murder who fought to stand trial rather than be declared insane'"
130485,"""Man of La Mancha""",What is Man of La Mancha?,"'Songs from this 1965 musical include ""The Dubbing"" & ""Dulcinea""'"
43965,Quakers (Society of Friends),What is the Religious Society of Friends or Quakers?,'The beginnings of this religious group came around 1647 with the preaching of George Fox of England'
199210,(Billy) Mitchell,Who was General Billy Mitchell?,'This controversial Army officer led the air operations of the AEF & flew many missions deep into enemy territory'
12509,the roadrunner,What is a roadrunner?,"'Swift American seen <a href=""http://www.j-archive.com/media/2004-07-12_J_19.jpg"" target=""_blank"">here</a>'"
186133,(Andrew) Jackson,Who is Andrew Jackson?,'He defeated the Creek in the 1814 Battle of Horseshoe Bend'
65714,Wendy\'s,What is Wendy's?,'Belonging to Peter Pan's Ms. Darling'
50887,the social anxiety disorder,What is Social Anxiety Disorder?,"'S.A.D. can stand for this psychological condition, a fear of being humiliated in front of others'"
56454,Gilbert & Sullivan,Who are Gilbert and Sullivan?,"'Their last joint operetta, ""The Grand Duke"", premiered in 1896'"
203905,(Charles) Bukowski,Who is Charles Bukowski?,'Henry Chinaski was the alter ego of this late hard-living California poet'
180405,a mammal,What is Mammal?,'The tarsier'
167640,the Douglas fir,What is a Douglas Fir?,"'This evergreen tree was named for Scottish botanist David Douglas, who collected samples in America'"
161775,the (Milwaukee) Bucks,What is the Milwaukee Bucks?,'The male deer'
23994,the sword,"What is ""sword""?","'Malory:<br />""And right as Arthur did at Christmas, he did at Candlemas, and pulled out the _____ easily""'"
112062,Spain (pieces of eight),What is Spain?,'Coins of this European country were those most frequently used in colonial America'
121694,a fish,What is the symbol of the fish?,"'Ichthys, the Greek word for this symbol of Christ, is a Greek acronym for ""Jesus Christ, Son of God, Savior""'"
79357,a peekaboo,"What is a ""peek-a-boo"" haircut?","'Veronica Lake's haircut that covered one eye was this style, also the name of a game played with small children'"
190420,"""Instant Karma""","What is ""Instant Karma!""?","'John Lennon song with the lyrics ""We all shine on like the moon and the stars and the sun""'"
215459,New Zealand (AKA the Kiwi Fruit),What is New Zealand?,'Most Chinese gooseberries are grown in this country'
18121,the Fireside Chats,What is a fireside chat?,"'FDR gave his final one of these radio addresses June 12, 1944'"
210057,Sweden,What is Denmark?,"'For the first time since the ice age, this country has been joined to Western Europe by a 10-mile bridge to Malmo'"
136710,The Saint (Simon Templar),"Who is Simon Templar, also known as ""The Saint""?","'Leslie Charteris created this ""heavenly"" British detective'"
112760,the mango,What is a mango?,"'This sweet fruit is known as the ""peach of the tropics""'"
30517,the flaps,What are flaps?,"'(Sarah of the Clue Crew sits in a flight simulator)<br />After takeoff it's normal to retract <a href=""http://www.j-archive.com/media/2011-05-17_J_29.wmv"">these</a> on the wings whose functions include increasing lift and drag; the process is controlled by the pilot and monitored on the primary flight display'"
116301,movies,What are movie screenings?,"'According to the MPAA, Americans attend an average of 7.6 of these a year'"
103366,crayfish,What are crawfish?,"'Cajun popcorn is made by battering & frying shrimp, or the tails of these freshwater crustaceans'"
209874,Junk Dealers,What is a junk dealer?,"'British TV's ""Steptoe & Son"" was about a rag-and-bone man; U.S. equivalent ""Sanford & Son"", was about this'"
16962,Hispanola,What is Hispaniola (or Haiti/Dominican Republic)?,"'(<a href=""http://www.j-archive.com/media/2009-10-14_J_07.wmv"">Jimmy of the Clue Crew shows a map on the monitor.</a>)  12 weeks after discovering the New World, the Santa Maria was wrecked on a reef off the north coast of <a href=""http://www.j-archive.com/media/2009-10-14_J_07.jpg"" target=""_blank"">this</a> large island on Christmas Day'"
39494,Mary Stuart,"Who is Mary, Queen of Scots?","'While imprisoned at Lochleven Castle in 1567, she was forced to abdicate in favor of her son James'"
188356,Mount McKinley,What is Mount Denali?,"'Seen <a href=""http://www.j-archive.com/media/2010-01-21_J_27.jpg"" target=""_blank"">here</a> in the background, this highest peak in North America was named for a U.S. president'"
125190,Muslim (or Islam),What is Islam?,'It's the religion of about 85% of the people of Bangladesh'
212093,dreadlocks,What is the dreadlock hairstyle?,"'Hey mon! That's me last summer <a href=""http://www.j-archive.com/media/2008-01-10_J_01.jpg"" target=""_blank"">sporting this hairstyle seen here,</a> I'm jammin'!'"
56192,Harold II,Who is King Harold?,'He's the king who died at the Battle of Hastings in 1066'
75751,(Steve) McQueen,Who is Steve McQueen?,"'A racer & actor, he did some of his own stunts in ""The Great Escape"" & is <a href=""http://www.j-archive.com/media/2011-02-01_J_08.jpg"" target=""_blank"">seen</a> <a href=""http://www.j-archive.com/media/2011-02-01_J_08.jpg"" target=""_blank"">here</a> on the cover of Sports Illustrated'"
146755,James Madison & James Monroe,Who is James Madison?,'JM (the 2)'
160436,Eight Simple Rules (for Dating My Teenage Daughter),"What is ""8 Simple Rules for Dating My Teenage Daughter""?","'On Nov. 4, 2003, this ABC series said a fond farewell to John with an episode titled simply ""Goodbye""'"
140593,the narwhal,What is a Narwhal?,"'A part of this marine mammal was prized by medieval folk, who thought it belonged to a unicorn'"
7733,macramé,What is macrame?,"'The name of this knotty craft comes from a word that means ""embroidered veil""'"
23587,a conch (shell),What is a conch?,"'If I'm holding this spiral shell of a gastropod, a fabled trumpet of the tritons, I get to speak'"
212963,Rolex,What is the enterprise that made waterproof watches in 1926?,'Psst! Hey buddy! Check it out -- a watch from this company that made watches waterproof in 1926. Only 20 bucks'
65393,W.A. Mozart,Who is Wolfgang Amadeus Mozart?,"'Act I of this composer's ""Don Giovanni"" features the famous ""Champagne Aria""'"
8207,The Mahdi,What is Mahdi?,"'Meaning ""guided one"", it was the title of the 1880s Sudanese leader whose forces defeated General Gordon'"
125927,a T-bone steak,What is T-bone?,'A letter plus a word make this steak from the short loin'
152810,a star & a crescent,What are the crescent moon and star?,"'Like Turkey's flag, Tunisia's flag bears these 2 celestial symbols of Islam'"
199906,a detergent,What is detergent?,'A cleansing substance made from synthetic compounds rather than fats or lye'
186286,Jack Daniel\'s,What is Jack Daniel's?,"'I can just tell you're sweating for a Lynchburg lemonade, the Lynchburg referring to this brand of whiskey'"
25496,Chester Alan Arthur,Who is Chester A. Arthur?,'CAA'
133165,Heracles,"Who is Hercules, and what is his accomplishment that allows the rodeo season to open, as reported by Aetos in the ancient Greek newscast?","'What's goin' on in sports, Aetos?  King Augeas said now that this hero has cleaned the stables, rodeo season is open'"
161780,the eucalyptus,What is Eucalyptus?,"'The blue gum, which has been introduced into the US., & the Sydney Peppermint are species of this tree'"
91608,SAKS,What is Ghostbusters?,"'A ""Fifth Avenue"" store is also available at 1-877-551-this'"
188427,waxing,What is a paraffin wax hair removal treatment?,'It's the removal of stray hairs by coating with hot paraffin & stripping it off when cooled'
105173,elephants,What is an elephant?,"'Meaning ""intoxicated"", musth is when the bulls of the African or Asian species of these go beserk'"
189504,a second wind,"What is ""second wind""?","'A new gust, or a renewed ability to continue'"
162653,Beyonce Knowles,Who is Beyoncé?,'This founding member of Destiny's Child tells people that her first name rhymes with fiance'
153168,Farsi (Persian),What is Farsi or Persian?,"'Lefties who smudge what they write may prefer right-to-left languages like <a href=""http://www.j-archive.com/media/2008-02-07_DJ_20.jpg"" target=""_blank"">this</a> one used in Qom & Tabriz'"
67175,a Happy Meal,What is the Happy Meal?,"'When the fast food ""meal"" now called this debuted nationally in '79, it came in a circus wagon box'"
58257,"Manfred von Richthofen (""The Red Baron"")","Who is Manfred von Richthofen, also known as the Red Baron?",'This Prussian was awarded the Blue Max in January 1917 for destroying 16 enemy planes'
120274,Red & black,What are red and black?,'Stendhal could tell you that they're the 2 main colors on a roulette wheel'
96448,Pelé,Who is Pele?,'1958:<br />Leads Brazil to the first of its 5 World Cup titles'
36689,Champs-Elysees,What is the Champs-Élysées?,"'The name of this famous street is French for ""Avenue of the Elysian Fields""'"
62488,discreet or discrete,"What is ""discreet""?","'This adjective means ""tactful""; spelled -ete instead of -eet, it means ""separate""'"
123176,9 Lives,What is Nine Lives?,'Morris the Cat was taken from a shelter & found a new home as this cat food brand's spokespet'
153029,California & Texas,What are Texas and California?,"'According to the 2008 World Almanac, more than half of all Hispanic registered voters live in these 2 states'"
92765,Titans,What are Titan II rockets?,'Remember these rockets? They propelled both the Gemini spacecraft & missiles aimed at the Russkies'
57301,Cro-Magnon Man,What is Cro-Magnon?,'The remains of this successor to Neanderthal Man were discovered in France in 1868'
162507,J.K. Rowling,Who is Joanne Kathleen Rowling?,'Joanne Kathleen...'
11476,eat it,What is eat?,"'According to Deuteronomy, you can't do this to a bat, even if it's been batter-dipped'"
123347,Hyman Rickover,Who is Admiral Hyman G. Rickover?,"'For his work in developing nuclear-powered subs, this admiral was known as the ""Father of the Atomic Submarine""'"
187103,(James) Van Allen,Who is James Van Allen?,'In 1958 this scientist found donut-shaped zones of charged particles high in the Earth's magnetic field'
143520,Notre Dame,What is Notre-Dame?,"'The gargoyle stands guard on <a href=""http://www.j-archive.com/media/2010-04-05_J_14.jpg"" target=""_blank"">this</a> cathedral on Paris' Île de la Cité'"
77829,(William Tecumseh) Sherman,Who is William Tecumseh Sherman?,'This Union general stands in Grand Army Plaza; a rear hoof of his horse is crushing a Georgia pine branch'
167674,Harrod\'s,What is Harrods?,"'""Everything for everybody everywhere"" was a modest motto of this London department store'"
104247,the AARP,What is AARP The Magazine?,'The magazine published by this organization for those 50 & over has the world's largest circulation'
98052,Litters,What is a nest?,"'From Latin for ""bed"", female muskrats have 2-5 of them a year with 5-7 young in each'"
214399,Captain Cook,Who is Captain James Cook?,'William Bligh served as master of the HMS Resolution during this captain's third voyage to the Pacific'
187859,atoms,What is an atom?,'In 1990 IBM scientists created the first structure made by moving individual ones of these on a surface'
69047,the black market,What is a black market?,'It's a place or method for selling goods illegally'
123443,Nobel Prize for Literature,What is the Nobel Prize in Literature?,'For his books on the Cossacks of the Don River Mikhail Sholokhov won this top prize in 1965'
156876,plums,What are three types of plum?,"'Burbank,<br />Santa Rosa,<br />Green Gage'"
104536,Caesar (Augustus),Who is Caesar Augustus?,"'This Roman emperor sent out a decree ""that all the world should be taxed""'"
178835,Fyodor Dostoyevsky,Who is Fyodor Dostoevsky?,"'He completed ""The Brothers Karamazov"" shortly before his 1881 death in St. Petersburg'"
47809,Dr. Pepper,What is Dr Pepper?,"'This soda, the oldest major soft drink brand in the U.S., contains a mixture of fruit juices (but prune isn't one of them)'"
43197,Frank N. Furter,Who is Dr. Frank-N-Furter?,"'Hot Dog!  He's the villain of ""The Rocky Horror Show""'"
125908,(John) Dingell,Who is John Dingell?,"'Michigander who in 2009 became the longest-serving U.S. representative in history: ""Tailpipe Johnny""'"
187377,Catherine (the Great),What is Catherine the Great?,"'In 1783, during her reign, Russia annexed the Crimean Peninsula from the Turks'"
170481,(Honoré de) Balzac,Who is Honore de Balzac?,"'The controversy surrounding your monument to this French author was a real ""human comedy""'"
207626,Barnabus,Who is Barnabas?,'He traveled with Paul to spread Jesus' teachings until they disagreed & separated'
40713,wolf,"What is the English for ""lobo""?",'A wild animal: lobo'
174167,brain stem,What is the brainstem?,"'This structure seen here, which includes the medulla, transmits information from the spinal cord'"
212995,the Boer War,What is the Second Boer War?,'In 1899 the Transvaal & Orange Free State engaged Britain in this war'
93308,Scarlett O\'Hara,"Who is Scarlett O'Hara from ""Gone with the Wind""?","'Mother of Bonnie Blue, she ran a sawmill after the Civil War'"
118293,(George Washington) Carver,Who is George Washington Carver?,'Postage stamp glue is one of the more than 100 products this African American developed from sweet potatoes'
60408,the sperm whale,What is a sperm whale?,'This largest toothed whale is also called a cachalot'
3494,the liver,What is a liver transplant?,"'(<a href=""http://www.j-archive.com/media/2005-04-11_DJ_12.jpg"" target=""_blank"">I'm Dr. Thomas Starzl.</a>)  In 1967, on a patient suffering from hepatoma, I performed the first successful human transplant of this organ'"
36657,mercenary soldiers (or Hessians),What are mercenaries?,"'The British paid the Duke of Brunswick over 50,000 pounds for these'"
25075,"Sammy Davis, Jr.",Who is Sammy Davis Jr.?,"'(<a href=""http://www.j-archive.com/media/2005-12-28_J_25.jpg"" target=""_blank"">Former NAACP president Kweisi Mfume reads the clue.</a>)  The NAACP's Image Awards were founded during a meeting at the home of this member of Hollywood's Rat Pack'"
84901,U.S. Grant,Who is Ulysses S. Grant?,"'(<a href=""http://www.j-archive.com/media/2008-11-06_DJ_01.jpg"" target=""_blank"">Ken Burns reads.</a>) In 1862 <a href=""http://www.j-archive.com/media/2008-11-06_DJ_01a.jpg"" target=""_blank"">this</a> military man garnered the nickname ""Unconditional Surrender""'"
